ITERATION-WISE RETURNS FOR ALL ENVIRONMENTS
==================================================


Iteration-wise returns for halfcheetah-medium-expert-v2

Iteration-wise Returns
------------------------------

Step,EWA Raw,EWA Normalized,ODT Raw,ODT Normalized
84 || 2413.02 | 58.90 || 2580.74 | 62.91
86 || 2680.29 | 65.29 || 2981.20 | 72.48
88 || 2781.49 | 67.71 || 2749.58 | 66.95
90 || 2175.25 | 53.21 || 2796.02 | 68.06
92 || 2754.23 | 67.06 || 2829.08 | 68.85
94 || 2464.99 | 60.14 || 2884.90 | 70.18
96 || 2346.61 | 57.31 || 2914.52 | 70.89
98 || 2553.10 | 62.25 || 2588.51 | 63.09
100 || 2825.55 | 68.76 || 2990.79 | 72.71

==================================================

Iteration-wise returns for hopper-medium-v2

Iteration-wise Returns
------------------------------

Step,EWA Raw,EWA Normalized,ODT Raw,ODT Normalized
0 || 1719.04 | 48.28 || 1797.97 | 50.99
2 || 2109.83 | 61.72 || 2059.89 | 60.00
4 || 2015.05 | 58.46 || 1908.84 | 54.81
6 || 2400.94 | 71.74 || 2141.87 | 62.82
8 || 2066.01 | 60.21 || 1925.12 | 55.37
10 || 2155.57 | 63.30 || 1934.65 | 55.70
12 || 1822.80 | 51.85 || 1641.82 | 45.62
14 || 1989.15 | 57.57 || 1754.38 | 49.49
16 || 1717.23 | 48.21 || 1638.00 | 45.49
18 || 1587.05 | 43.74 || 1626.13 | 45.08
20 || 1582.25 | 43.57 || 1623.34 | 44.98
22 || 1638.57 | 45.51 || 1652.57 | 45.99
24 || 1634.07 | 45.35 || 1599.81 | 44.18
26 || 1548.14 | 42.40 || 1627.46 | 45.13
28 || 1503.71 | 40.87 || 1562.63 | 42.90
30 || 1455.76 | 39.22 || 1616.90 | 44.76
32 || 1537.70 | 42.04 || 1605.68 | 44.38
34 || 1592.12 | 43.91 || 1661.89 | 46.31
36 || 1581.09 | 43.53 || 1641.94 | 45.62
38 || 1568.28 | 43.09 || 1651.63 | 45.96
40 || 1697.09 | 47.52 || 1695.66 | 47.47
42 || 1681.29 | 46.98 || 1664.37 | 46.40
44 || 1746.17 | 49.21 || 1643.34 | 45.67
46 || 1723.83 | 48.44 || 1788.35 | 50.66
48 || 1738.29 | 48.94 || 1813.67 | 51.53
50 || 1670.28 | 46.60 || 1759.47 | 49.67
52 || 1660.81 | 46.27 || 1714.97 | 48.14
54 || 1687.79 | 47.20 || 1765.82 | 49.89
56 || 1703.79 | 47.75 || 1783.96 | 50.51
58 || 1626.86 | 45.11 || 1811.98 | 51.47
60 || 1676.09 | 46.80 || 1846.40 | 52.66
62 || 1720.34 | 48.32 || 1861.84 | 53.19
64 || 1665.46 | 46.43 || 1893.95 | 54.29
66 || 1694.54 | 47.43 || 1871.87 | 53.54
68 || 1679.81 | 46.93 || 1823.54 | 51.87
70 || 1701.48 | 47.67 || 1917.08 | 55.09
72 || 1659.20 | 46.22 || 1913.16 | 54.96
74 || 1672.90 | 46.69 || 1863.99 | 53.26
76 || 1682.04 | 47.00 || 1908.08 | 54.78
78 || 1665.65 | 46.44 || 1934.19 | 55.68
80 || 1718.64 | 48.26 || 1890.75 | 54.19
82 || 1714.45 | 48.12 || 1841.07 | 52.48
84 || 1681.11 | 46.97 || 1909.13 | 54.82
86 || 1715.77 | 48.16 || 1905.46 | 54.69
88 || 1672.72 | 46.68 || 1929.83 | 55.53
90 || 1705.18 | 47.80 || 1934.64 | 55.70
92 || 1695.84 | 47.48 || 1882.09 | 53.89
94 || 1672.28 | 46.67 || 1893.29 | 54.27
96 || 1657.23 | 46.15 || 1936.43 | 55.76
98 || 1687.18 | 47.18 || 1890.88 | 54.19
100 || 1696.51 | 47.50 || 1947.87 | 56.15

==================================================


FINAL NORMALIZED RETURNS SUMMARY
==================================================

Environment: halfcheetah-medium-expert-v2
------------------------------
Dataset min return: -310.23
Dataset max return: 11252.04

Seed average (EWA): 72.81
Seed average (EWA): 72.00
Seed average (EWA): 69.01
Seed average (EWA): 72.72
Seed average (EWA): 67.28
Seed average (EWA): 71.61
Seed average (EWA): 70.29
Seed average (EWA): 71.99
Seed average (EWA): 72.23
Seed average (EWA): 70.76
Seed average (ODT): 73.43
Seed average (ODT): 75.71
Seed average (ODT): 69.48
Seed average (ODT): 73.60
Seed average (ODT): 73.83
Seed average (ODT): 70.96
Seed average (ODT): 69.12
Seed average (ODT): 72.77
Seed average (ODT): 72.10
Seed average (ODT): 72.36

EWA Summary (n=10 seeds): 71.07 ± 1.69
ODT Summary (n=10 seeds): 72.34 ± 1.92

==================================================
Environment: walker2d-medium-replay-v2
------------------------------
Dataset min return: -50.20
Dataset max return: 4132.00

Seed average (EWA): 58.66
Seed average (EWA): 62.63
Seed average (EWA): 54.53
Seed average (EWA): 43.69
Seed average (EWA): 52.72
Seed average (EWA): 30.08
Seed average (EWA): 60.01
Seed average (EWA): 47.53
Seed average (EWA): 35.18
Seed average (EWA): 49.12
Seed average (ODT): 52.78
Seed average (ODT): 59.52
Seed average (ODT): 43.92
Seed average (ODT): 54.09
Seed average (ODT): 51.67
Seed average (ODT): 58.64
Seed average (ODT): 44.67
Seed average (ODT): 35.28
Seed average (ODT): 62.03
Seed average (ODT): 55.50

EWA Summary (n=10 seeds): 49.41 ± 10.11
ODT Summary (n=10 seeds): 51.81 ± 7.85

==================================================
Environment: hopper-medium-v2
------------------------------
Dataset min return: 315.87
Dataset max return: 3222.36

Seed average (EWA): 38.12
Seed average (EWA): 51.78
Seed average (EWA): 50.00
Seed average (EWA): 46.89
Seed average (EWA): 51.67
Seed average (EWA): 48.55
Seed average (EWA): 47.49
Seed average (EWA): 47.65
Seed average (EWA): 52.00
Seed average (EWA): 48.10
Seed average (ODT): 50.79
Seed average (ODT): 51.67
Seed average (ODT): 52.33
Seed average (ODT): 50.18
Seed average (ODT): 55.88
Seed average (ODT): 47.80
Seed average (ODT): 48.09
Seed average (ODT): 54.00
Seed average (ODT): 48.27
Seed average (ODT): 52.36

EWA Summary (n=10 seeds): 48.23 ± 3.83
ODT Summary (n=10 seeds): 51.14 ± 2.52

==================================================
