Environment,Metric,EWA_ODT_Avg,EWA_ODT_Avg_Std,EWA_ODT_Final,EWA_ODT_Final_Std,EWA_ODT_Max,EWA_ODT_Max_Std,ODT_Avg,ODT_Avg_Std,ODT_Final,ODT_Final_Std,ODT_Max,ODT_Max_Std,Avg_Improvement_Pct,Final_Improvement_Pct,Max_Improvement_Pct
walker2d-medium-replay-v2,evaluation/return_mean_gm,164.61229276657104,216.1154411100625,26.765063285827637,25.83530537632789,488.6772247950236,686.9855257868035,94.40576279958088,133.85537777574874,420.03854115804035,595.1095348168561,420.03854115804035,595.1095348168561,74.36678427781513,-93.62795061328498,16.341044192694174
walker2d-medium-replay-v2,evaluation/return_std_gm,137.98658981720607,159.23911242285263,4.5835079948107404,2.9619780753459115,437.0944592158,607.4850794135159,68.34479152361551,93.17187015736356,328.0123578906059,454.14231224178786,328.0123578906059,454.14231224178786,101.89774047306426,-98.60264167353738,33.25548525875162
walker2d-medium-replay-v2,evaluation/return_vs_samples,182.23253636026317,237.46876941734578,26.765063285827637,25.83530537632789,490.9779358830736,685.3861695239219,129.82102596994653,183.07842280474236,420.03854115804035,595.1095348168561,423.34240999282133,592.8141229491515,40.372127703296584,-93.62795061328498,15.976553327458776
walker2d-medium-replay-v2,evaluation/length_mean_gm,140.42666880289713,98.92039564538929,66.20000076293945,5.678027987872038,310.9666748046875,292.99284786911164,92.24666697184244,46.87637472887895,212.36666997273764,215.92328485323947,212.36666997273764,215.92328485323947,52.22953133446138,-68.82749973362684,46.4291335568842
walker2d-medium-replay-v2,evaluation/length_std_gm,71.69471118648846,68.87066938421945,1.3173416157563527,0.671772107040984,235.93816121419272,176.53068641778768,19.328717937072117,26.277664712337906,90.4642917116483,126.39007169986185,90.4642917116483,126.39007169986185,270.9232625769729,-98.54379933691922,160.80805669295148
walker2d-medium-replay-v2,aug_traj/return,87.52055898507436,64.60940918644232,51.18397903442383,78.73585680462323,201.66987991333008,130.83542256101612,64.01982955137888,79.12560727245314,62.729172468185425,94.02893297908854,247.8172232309977,284.6830121259246,36.708516093181814,-18.404823433015977,-18.621523845682162
walker2d-medium-replay-v2,aug_traj/length,116.06666666666665,39.96162241508277,100.33333333333333,13.12334645668635,203.33333333333334,70.90055633694908,90.46666666666667,44.858490018790704,58.333333333333336,30.214051182999093,163.33333333333334,147.73249097232772,28.297715549005137,71.99999999999999,24.489795918367346
hopper-medium-v2,evaluation/return_mean_gm,1331.7803649902344,374.9885981583295,1217.1209920247395,585.3527255338624,1656.5638020833333,143.68089300843087,1213.2619506835938,440.2784233420407,1342.8438110351562,635.5038987800211,1348.5822347005208,220.73411951806884,9.768575882550607,-9.362430535648144,22.83743322862368
hopper-medium-v2,evaluation/return_std_gm,299.5776206652323,153.05524052768178,147.16652218500772,170.62027122073067,463.9113057454427,97.75524212905523,381.94093221028646,173.45561182486435,251.9653641382853,172.19175401038143,579.4808858235677,135.0322416169159,-21.564410776404326,-41.59255868824939,-19.943639713650896
hopper-medium-v2,evaluation/return_vs_samples,1300.0273072475422,395.6069682867709,1217.1209920247395,585.3527255338624,1722.8468846828728,82.33635531049497,1183.7539015962236,432.7906833795297,1342.8438110351562,635.5038987800211,1417.729344908638,500.11779122299623,9.822430616239632,-9.362430535648144,21.5215648085423
hopper-medium-v2,evaluation/length_mean_gm,661.7999918619792,188.94172478187875,637.2333323160807,314.1659482553972,843.0999755859375,65.86349520030045,596.7200103759766,216.02629143470804,681.6333363850912,319.21734235994086,693.5000203450521,216.97808450457265,10.906284413857263,-6.5137665221124905,21.571730476150766
hopper-medium-v2,evaluation/length_std_gm,159.3918533563614,74.06800447417922,65.55611860752106,92.38650442773363,240.47936503092447,29.799941770651795,173.9051487604777,70.61337833945315,107.21853733062744,72.99161670393765,265.9690856933594,54.41551512876802,-8.345523699304431,-38.85747722395513,-9.583715564530861
hopper-medium-v2,aug_traj/return,867.9049077351887,335.8778670559821,751.3562622070312,197.98989580081334,1639.0143636067708,533.7188988539375,884.5185068766275,298.3270630430055,1158.3285319010417,296.50726745200524,1448.1426798502605,577.9944950713509,-1.8782647295989368,-35.13444230075988,13.1804473697472
hopper-medium-v2,aug_traj/length,357.49999999999994,138.82510446468683,275.6666666666667,40.61472092179824,618.3333333333334,273.26218586226344,376.7666666666667,129.0444093753098,459.3333333333333,57.70230112877263,742.0,364.8670990922585,-5.1136866318676715,-39.9854862119013,-16.66666666666666
