Environment,Metric,EWA_ODT_Avg,EWA_ODT_Avg_Std,EWA_ODT_Final,EWA_ODT_Final_Std,EWA_ODT_Max,EWA_ODT_Max_Std,ODT_Avg,ODT_Avg_Std,ODT_Final,ODT_Final_Std,ODT_Max,ODT_Max_Std,Avg_Improvement_Pct,Final_Improvement_Pct,Max_Improvement_Pct
walker2d-medium-replay-v2,evaluation/return_mean_gm,167.13717471228708,218.7888819516467,26.765063285827637,25.83530537632789,488.6772247950236,686.9855257868035,82.39041047626071,114.82698085725421,420.03854115804035,595.1095348168561,420.03854115804035,595.1095348168561,102.85998545964836,-93.62795061328498,16.341044192694174
walker2d-medium-replay-v2,evaluation/return_std_gm,155.30953300330376,189.1640951012515,4.5835079948107404,2.9619780753459115,437.0944592158,607.4850794135159,57.38952730761634,77.80483163006171,328.0123578906059,454.14231224178786,328.0123578906059,454.14231224178786,170.62347485599895,-98.60264167353738,33.25548525875162
walker2d-medium-replay-v2,evaluation/return_vs_samples,179.25367503868796,233.16590917692974,26.765063285827637,25.83530537632789,490.9779358830736,685.3861695239219,123.3743805375801,172.79545015122585,420.03854115804035,595.1095348168561,423.34240999282133,592.8141229491515,45.292462063537506,-93.62795061328498,15.976553327458776
walker2d-medium-replay-v2,evaluation/length_mean_gm,134.52777947319876,93.03460901303379,66.20000076293945,5.678027987872038,310.9666748046875,292.99284786911164,87.43888918558757,40.30737062226557,212.36666997273764,215.92328485323947,212.36666997273764,215.92328485323947,53.85348639055309,-68.82749973362684,46.4291335568842
walker2d-medium-replay-v2,evaluation/length_std_gm,70.05625927282703,71.84283831341891,1.3173416157563527,0.671772107040984,235.93816121419272,176.53068641778768,16.22915601564778,21.946683027298374,90.4642917116483,126.39007169986185,90.4642917116483,126.39007169986185,331.6691465981373,-98.54379933691922,160.80805669295148
walker2d-medium-replay-v2,aug_traj/return,87.52055898507436,64.60940918644232,51.18397903442383,78.73585680462323,201.66987991333008,130.83542256101612,64.01982955137888,79.12560727245314,62.729172468185425,94.02893297908854,247.8172232309977,284.6830121259246,36.708516093181814,-18.404823433015977,-18.621523845682162
walker2d-medium-replay-v2,aug_traj/length,116.06666666666665,39.96162241508277,100.33333333333333,13.12334645668635,203.33333333333334,70.90055633694908,90.46666666666667,44.858490018790704,58.333333333333336,30.214051182999093,163.33333333333334,147.73249097232772,28.297715549005137,71.99999999999999,24.489795918367346
hopper-medium-v2,evaluation/return_mean_gm,1343.8540666368272,373.17548560207086,1217.1209920247395,585.3527255338624,1656.5638020833333,143.68089300843087,1254.8157382541233,392.28652232636364,1342.8438110351562,635.5038987800211,1462.5846761067708,152.32701724797832,7.095729330474174,-9.362430535648144,13.262762091348602
hopper-medium-v2,evaluation/return_std_gm,307.9206890265147,163.88522966867654,147.16652218500772,170.62027122073067,463.9113057454427,97.75524212905523,403.25482177734375,171.12671522011817,251.9653641382853,172.19175401038143,579.4808858235677,135.0322416169159,-23.6411637511597,-41.59255868824939,-19.943639713650896
hopper-medium-v2,evaluation/return_vs_samples,1325.0530473571262,393.78080102023245,1217.1209920247395,585.3527255338624,1722.8468846828728,82.33635531049497,1222.1247755752493,403.70220269009326,1342.8438110351562,635.5038987800211,1462.5846761067708,152.32701724797832,8.422075539171438,-9.362430535648144,17.79467628970991
hopper-medium-v2,evaluation/length_mean_gm,680.56665886773,193.07711706428802,637.2333323160807,314.1659482553972,843.0999755859375,65.86349520030045,629.0444530910917,193.28404080529234,681.6333363850912,319.21734235994086,790.6666666666666,79.57278765821378,8.19055084636084,-6.5137665221124905,6.631531482201207
hopper-medium-v2,evaluation/length_std_gm,162.3040637109015,81.10920490928652,65.55611860752106,92.38650442773363,240.47936503092447,29.799941770651795,187.22193267610336,71.7774083699895,107.21853733062744,72.99161670393765,265.9690856933594,54.41551512876802,-13.30926810178279,-38.85747722395513,-9.583715564530861
hopper-medium-v2,aug_traj/return,867.9049077351887,335.8778670559821,751.3562622070312,197.98989580081334,1639.0143636067708,533.7188988539375,884.5185068766275,298.3270630430055,1158.3285319010417,296.50726745200524,1448.1426798502605,577.9944950713509,-1.8782647295989368,-35.13444230075988,13.1804473697472
hopper-medium-v2,aug_traj/length,357.49999999999994,138.82510446468683,275.6666666666667,40.61472092179824,618.3333333333334,273.26218586226344,376.7666666666667,129.0444093753098,459.3333333333333,57.70230112877263,742.0,364.8670990922585,-5.1136866318676715,-39.9854862119013,-16.66666666666666
